Gender,Shanghai_ranking,Publications,Citations,Recommendations,Interest score,Reads,h index,PISA rank,GDP (Millions $),HDI score,Position rank,Average h index
1,47,183,11905,64,6087,33978,40,19,23315081,0.921,3,26.894334
1,47,62,234,5,1379,3586,9,19,23315081,0.921,2,26.894334
1,47,39,286,55,1959,4724,7,19,23315081,0.921,3,26.894334
0,47,152,4510,45,2329,37724,39,19,23315081,0.921,3,26.894334
1,47,235,3444,141,2294,48142,31,19,23315081,0.921,3,26.894334
1,47,76,2604,12,7709,10544,26,19,23315081,0.921,3,26.894334
0,47,75,4971,19,2975,83117,34,19,23315081,0.921,3,26.894334
1,47,64,1283,6,6972,7885,13,19,23315081,0.921,3,26.894334
1,47,116,2171,15,9998,6445,23,19,23315081,0.921,3,26.894334
1,47,37,733,16,3448,6511,14,19,23315081,0.921,3,26.894334
0,47,142,2927,8,1324,10043,29,19,23315081,0.921,3,26.894334
0,47,44,367,23,2403,9244,10,19,23315081,0.921,3,26.894334
1,47,60,4055,50,2095,16724,25,19,23315081,0.921,3,26.894334
1,47,45,46767,127,22776,52129,17,19,23315081,0.921,3,26.894334
1,47,64,1078,10,5115,4667,17,19,23315081,0.921,3,26.894334
1,47,41,261,123,1340,62474,7,19,23315081,0.921,3,26.894334
0,47,41,1833,70,1187,18522,14,19,23315081,0.921,3,26.894334
1,47,72,2096,40,1096,18794,19,19,23315081,0.921,3,26.894334
1,47,33,1936,70,9040,3458,15,19,23315081,0.921,0,26.894334
0,47,36,752,36,4350,5693,10,19,23315081,0.921,2,26.894334
1,47,224,27411,76,13093,49256,81,19,23315081,0.921,3,26.894334
1,47,308,9689,47,5016,48040,56,19,23315081,0.921,3,26.894334
1,47,422,16959,0,0,0,0,19,23315081,0.921,0,26.894334
0,47,79,3211,14,1639,13159,26,19,23315081,0.921,3,26.894334
1,47,46,2558,26,1228,5620,19,19,23315081,0.921,3,26.894334
0,47,134,2677,23,1222,11946,31,19,23315081,0.921,3,26.894334
1,47,228,30523,131,15934,91711,89,19,23315081,0.921,3,26.894334
1,47,142,12657,73,5794,35123,42,19,23315081,0.921,3,26.894334
1,47,397,9444,175,4563,53637,50,19,23315081,0.921,3,26.894334
1,47,176,4404,8,2046,16977,36,19,23315081,0.921,2,26.894334
1,47,47,6984,39,2990,15521,25,19,23315081,0.921,2,26.894334
1,47,260,11717,90,6015,38894,56,19,23315081,0.921,0,26.894334
0,47,255,13121,46,5950,50481,64,19,23315081,0.921,3,26.894334
1,47,173,2795,24,1256,7279,32,19,23315081,0.921,2,26.894334
1,47,225,9293,37,4085,40756,53,19,23315081,0.921,3,26.894334
1,47,237,9765,34,4268,23084,52,19,23315081,0.921,3,26.894334
1,47,111,4644,34,2241,13008,25,19,23315081,0.921,3,26.894334
1,47,70,1056,13,5109,3715,15,19,23315081,0.921,2,26.894334
0,47,39,768,5,4186,6053,13,19,23315081,0.921,3,26.894334
1,47,109,8447,69,4596,66486,42,19,23315081,0.921,3,26.894334
1,47,207,11623,6,5010,5485,61,19,23315081,0.921,3,26.894334
0,47,214,6801,40,3423,30253,50,19,23315081,0.921,3,26.894334
1,47,257,16399,73,8292,38946,66,19,23315081,0.921,0,26.894334
0,47,61,3198,41,1608,8589,22,19,23315081,0.921,3,26.894334
1,47,201,2603,26,1134,15127,27,19,23315081,0.921,3,26.894334
1,47,51,3485,2,1725,6924,10,19,23315081,0.921,0,26.894334
1,47,111,2611,23,1294,13445,25,19,23315081,0.921,3,26.894334
0,47,103,1041,5,5085,2287,17,19,23315081,0.921,3,26.894334
0,47,66,1025,18,5236,5593,14,19,23315081,0.921,3,26.894334
1,47,345,12795,21,6158,49829,54,19,23315081,0.921,3,26.894334
1,47,574,5867,107,3229,114675,38,19,23315081,0.921,2,26.894334
1,47,236,7456,19,3499,13883,44,19,23315081,0.921,3,26.894334
0,47,99,4049,29,2023,13040,33,19,23315081,0.921,3,26.894334
0,47,234,11339,150,6387,73712,55,19,23315081,0.921,3,26.894334
1,47,91,3390,0,1537,3063,30,19,23315081,0.921,3,26.894334
1,47,89,974,26,4894,6886,16,19,23315081,0.921,2,26.894334
0,47,34,957,8,4841,5070,18,19,23315081,0.921,3,26.894334
1,47,269,7548,20,3574,40618,46,19,23315081,0.921,0,26.894334
1,47,114,5718,16,2656,5254,24,19,23315081,0.921,2,26.894334
1,47,132,2447,6,1169,9125,30,19,23315081,0.921,2,26.894334
0,47,222,9272,37,4235,27905,51,19,23315081,0.921,4,26.894334
1,47,56,4183,25,2169,13643,25,19,23315081,0.921,4,26.894334
1,47,168,11698,51,5637,19178,51,19,23315081,0.921,3,26.894334
1,47,251,9243,27,4462,24103,48,19,23315081,0.921,3,26.894334
0,47,130,3147,504,1799,23211,29,19,23315081,0.921,3,26.894334
1,47,181,4621,3,2199,6261,34,19,23315081,0.921,3,26.894334
1,47,205,26753,22,13159,19745,43,19,23315081,0.921,3,26.894334
1,47,159,5270,4,2564,19947,39,19,23315081,0.921,2,26.894334
1,47,250,7898,24,3141,6841,45,19,23315081,0.921,0,26.894334
1,47,146,5413,110,3009,41641,39,19,23315081,0.921,3,26.894334
0,47,432,34866,87,16610,44699,97,19,23315081,0.921,2,26.894334
0,47,44,1893,20,9233,10164,20,19,23315081,0.921,3,26.894334
0,47,252,7577,21,3449,18464,51,19,23315081,0.921,0,26.894334
0,47,40,995,4,4703,6982,15,19,23315081,0.921,3,26.894334
1,47,215,6201,19,2894,12529,42,19,23315081,0.921,3,26.894334
1,47,70,1756,30,8599,5317,24,19,23315081,0.921,3,26.894334
1,47,210,8952,56,4014,21353,49,19,23315081,0.921,3,26.894334
1,47,63,6942,20,3715,39867,24,19,23315081,0.921,3,26.894334
1,47,241,13134,20,7054,97530,43,19,23315081,0.921,3,26.894334
0,47,61,3134,23,1615,15550,28,19,23315081,0.921,3,26.894334
0,47,71,2277,18,1134,9378,25,19,23315081,0.921,3,26.894334
0,47,47,1084,9,5120,6025,17,19,23315081,0.921,3,26.894334
1,47,93,3849,3,1605,6903,38,19,23315081,0.921,0,26.894334
0,47,135,3542,45,2727,192343,28,19,23315081,0.921,3,26.894334
1,47,257,15132,17,7292,22970,66,19,23315081,0.921,4,26.894334
0,47,251,8699,37,4043,18543,50,19,23315081,0.921,3,26.894334
0,47,51,758,26,4455,30206,17,19,23315081,0.921,3,26.894334
1,47,101,3541,64,1674,9377,30,19,23315081,0.921,3,26.894334
1,47,35,1088,3,5213,6688,15,19,23315081,0.921,3,26.894334
0,47,45,1301,0,6052,15338,21,19,23315081,0.921,3,26.894334
1,47,92,6852,16,3515,24303,29,19,23315081,0.921,3,26.894334
1,47,125,4386,7,2131,4903,33,19,23315081,0.921,2,26.894334
1,47,107,5655,99,3283,32343,28,19,23315081,0.921,3,26.894334
0,47,340,27004,21,12842,37791,96,19,23315081,0.921,2,26.894334
0,47,73,935,14,4592,5128,16,19,23315081,0.921,3,26.894334
0,47,66,2663,27,1310,13116,24,19,23315081,0.921,3,26.894334
1,47,96,3793,35,1946,17405,29,19,23315081,0.921,3,26.894334
0,47,66,2344,31,1254,28693,16,19,23315081,0.921,0,26.894334
0,47,114,2719,67,1256,7246,25,19,23315081,0.921,3,26.894334
1,47,267,7763,89,3892,52385,47,19,23315081,0.921,3,26.894334
0,47,142,6561,83,3128,19497,34,19,23315081,0.921,3,26.894334
0,47,176,11046,243,6348,57841,50,19,23315081,0.921,3,26.894334
1,47,707,35955,78,16575,82118,95,19,23315081,0.921,3,26.894334
1,47,100,7078,94,3433,14811,35,19,23315081,0.921,0,26.894334
0,47,35,1579,6,7579,2722,19,19,23315081,0.921,0,26.894334
0,47,65,742,20,4076,11307,17,19,23315081,0.921,4,26.894334
0,47,270,16533,62,8329,69702,64,19,23315081,0.921,2,26.894334
1,47,257,5328,41,2585,12350,25,19,23315081,0.921,2,26.894334
1,47,239,7428,6,3343,15517,53,19,23315081,0.921,4,26.894334
0,47,117,5479,31,2934,39295,40,19,23315081,0.921,3,26.894334
0,47,42,736,2,3646,1869,8,19,23315081,0.921,3,26.894334
