,Full name,Gender,Position,Nation,Institute,Shanghai_ranking,Depratment,Disciplines,Publications,Citations,Recommendations,Top cited research,Interest score,Reads,h index,URL
0,Gerardo Byk,male,Associate Professor,Israel,Bar Ilan University,301,Department of Chemistry,Materials Engineering|Nanotechnology|Peptides,91.0,2455.0,7.0,"Synthesis, Activity, and Structure−Activity Relationship Studies of Novel Cationic Lipids for DNA Transfer",1018.0,7844.0,25.0,https://www.researchgate.net/profile/Gerardo-Byk
1,Mark Agranovsky,male,"Ph.D., D.Sci.",Israel,Bar Ilan University,301,Department of Mathematics,Mathematical Analysis|Real and Complex Analysis|Harmonic Analysis,123.0,1266.0,42.0,Injectivity Sets for the Radon Transform over Circles and Complete Systems of Radial Functions,5491.0,3998.0,18.0,https://www.researchgate.net/profile/Mark-Agranovsky
2,Noga Stambler,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Climate Change|Phytoplankton|Algae,71.0,3293.0,37.0,Marine pollution and coral reefs,1844.0,24260.0,30.0,https://www.researchgate.net/profile/Noga-Stambler
3,Eli Vakil,male,Professor,Israel,Bar Ilan University,301,Department of Psychology,Memory|Learning|Cognitive Neuropsychology,163.0,5255.0,19.0,"Ageing, Fitness and Neurocognitive Function",2761.0,58764.0,31.0,https://www.researchgate.net/profile/Eli-Vakil
4,Sam Lehman-Wilzig,male,"PhD, Government (Harvard U, 1976)",Israel,Bar Ilan University,301,School of Communication,Communication|Academic Writing|Research Papers,67.0,646.0,14.0,"Hard news, soft news, ‘general’ news: The necessity and utility of an intermediate classification",5862.0,87340.0,12.0,https://www.researchgate.net/profile/Sam-Lehman-Wilzig
5,Amiyaal Ilany,male,PhD,Israel,Bar Ilan University,301,Faculty of Life Sciences,Nan,54.0,1218.0,36.0,Acoustic sequences in non-human animals: A tutorial review and prospectus,6758.0,9253.0,18.0,https://www.researchgate.net/profile/Amiyaal-Ilany
6,Gil Goobes,male,Professor,Israel,Bar Ilan University,301,Department of Chemistry,Protein Structure|Protein X-ray Crystallography|Solid State NMR,82.0,1868.0,38.0,Pushing the limit of layered transition metal oxide cathodes for high-energy density rechargeable Li ion batteries,9506.0,11550.0,22.0,https://www.researchgate.net/profile/Gil-Goobes
7,Michael Sofer,male,Professor,Israel,Bar Ilan University,301,Department of Geography and Environment,Geography|Agriculture|Rural Development,89.0,872.0,27.0,Pluriactivity in the Moshav: family farming in Israel,4771.0,27674.0,18.0,https://www.researchgate.net/profile/Michael-Sofer
8,Adi Salomon,male,Principal Investigator at Bar Ilan University,Israel,Bar Ilan University,301,Institute of Nanotechnology and Advanced Materials (BINA),Materials,66.0,2032.0,30.0,Molecules on Si: Electronics with Chemistry,8607.0,4074.0,23.0,https://www.researchgate.net/profile/Adi-Salomon
9,Malkeet Singh Bahia,male,"M.Pharmacy, Ph.D.",Israel,Bar Ilan University,301,Department of Chemistry,Pharmaceutical Development|Inflammation|Bioinformatics and Computational Biology,55.0,772.0,19.0,BitterDB: taste ligands and receptors database in 2019,4610.0,16183.0,15.0,https://www.researchgate.net/profile/Malkeet-Bahia
10,Deborah Court,male,Ed.D.,Israel,Bar Ilan University,301,School of Education,Curriculum Development|Professional Development|Teaching,94.0,474.0,18.0,Job stress and organizational commitment among mentoring coordinators,3476.0,29491.0,11.0,https://www.researchgate.net/profile/Deborah-Court
11,David Gary Schwartz,male,"B.Sc., MBA. Ph.D.",Israel,Bar Ilan University,301,Graduate School of Business Administration ,Knowledge Management|Information Technology|Information Management,167.0,1278.0,32.0,Encyclopedia of Knowledge Management,6816.0,21724.0,20.0,https://www.researchgate.net/profile/David-Schwartz-15
12,Danny Horesh,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Psychopathology|Mental Illness|Treatment,71.0,2248.0,45.0,Traumatic Stress in the Age of COVID-19: A Call to Close Critical Gaps and Adapt to New Realities,1354.0,28792.0,21.0,https://www.researchgate.net/profile/Danny-Horesh
13,Dana Atzil Slonim,male,PhD,Israel,Bar Ilan University,301,Department of Psychology,Psychodynamic Psychotherapy|Psychotherapy|Psychoanalysis,61.0,764.0,99.0,The Reciprocal Relationship Between Alliance and Early Treatment Symptoms: A Two-Stage Individual Participant Data Meta-Analysis,1061.0,36246.0,15.0,https://www.researchgate.net/profile/Dana-Atzil-Slonim
14,Jessica Bellworthy,male,Marine Biology,Israel,Bar Ilan University,301,Faculty of Life Sciences,Climate Change|Larval Ecology|Maternal Effects,34.0,240.0,25.0,Influence of Ocean Acidification on a Natural Winter-to-Summer Plankton Succession: First Insights from a Long-Term Mesocosm Study Draw Attention to Periods of Low Nutrient Concentrations,2197.0,5382.0,7.0,https://www.researchgate.net/profile/Jessica-Bellworthy
15,Keren Gueta,male,PhD,Israel,Bar Ilan University,301,Department of Criminology,Addiction|Recovery|Therapeutic Community,38.0,335.0,12.0,Can a 12-Step Program Work in Methadone Maintenance Treatment?,1749.0,3564.0,11.0,https://www.researchgate.net/profile/Keren-Gueta
